Regione,1a+J&J,2a+J&J
ITA,27623691,13558508
ABR,613618,311667
BAS,244627,137688
CAL,830134,422198
CAM,2789645,1205822
EMR,2016203,1084680
FVG,589819,263536
LAZ,2728577,1323556
LIG,705718,402572
LOM,4815955,2391576
MAR,708917,344245
MOL,152706,66401
PAB,247563,115908
PAT,233077,111852
PIE,1928261,972192
PUG,1886467,950326
SAR,744538,307535
SIC,2030596,1069973
TOS,1659277,815834
UMB,423233,187401
VDA,55563,28645
VEN,2219197,1044901
